zone,population,stations,lat,lon,ev_density,score,priority
A,5000.0,2.0,12.97,77.59,250.0,1624.6,Low
B,8000.0,1.0,12.98,77.6,400.0,2599.8,Medium
C,3000.0,0.0,12.96,77.58,150.0,975.0,Low
D,10000.0,3.0,12.99,77.61,500.0,3249.4,Medium
E,6000.0,1.0,12.95,77.57,300.0,1949.8,Low
A,5008.20026200521,2.0672315161251857,12.760505629825484,79.84755689261841,240.78352995292607,1593.1376409890368,Low
B,8190.8616059499855,0.9864241308665656,12.8597993829865,78.61810327253731,393.38910413319394,2668.135716609355,Medium
C,2987.970446925906,0.0,12.542273913715151,75.04574397655743,145.01178767164586,991.026412425294,Low
D,10013.40556319355,3.093308450031157,13.267792685999204,77.50854795304589,505.4360031191649,3229.3955180916523,Medium
E,6065.426469999782,1.016460211342061,12.757420969903633,77.08091024307481,303.5755579433237,1991.6016283782271,Low
A,5063.91029729917,1.9597683790632885,12.674436645579783,77.97211368141082,243.387676060911,1638.3553312602455,Low
B,8113.1514703251,0.992227371847465,13.552882420923323,77.7482336702112,401.9499903191097,2579.0440989701438,Medium
C,3024.873305501859,0.0,13.06325822630864,79.23337394547269,149.67815515588745,981.0524413928982,Low
D,9942.786508271876,2.9992686450615302,13.028146982009572,77.84427662356507,501.10666013183936,3362.913981191401,Medium
E,5982.516367358731,1.0092856214120045,13.11311425707084,78.1988074751936,300.6265861304827,2030.176004059963,Low
A,5017.537069018086,1.9502272133047016,12.757025932860346,75.65634963895448,255.06127080241563,1636.0246711841933,Low
B,7754.303698257311,1.0079618564426651,12.66693017464492,75.3689825922157,407.8416107393723,2570.745654821356,Medium
C,2887.089643232456,0.0,12.829592230277578,76.81577334502326,152.07692303362805,984.304213654927,Low
D,10141.090368874144,3.0196964897117238,13.20013411897809,76.8311966955194,484.42943262918624,3277.590901249096,Medium
E,5965.18335159991,1.0221119550412183,13.0105119845553,77.66088298150082,305.3559321423596,1883.206830328034,Low
A,4996.728316529564,2.035836485502538,12.802059255615196,75.34511433777281,252.8876481373535,1596.2277334203468,Low
B,8128.04767248863,1.0187271080480993,12.641794094479213,78.35664018164732,401.9451725241723,2661.0497732749577,Medium
C,2992.1107545066943,0.0,12.746335212306056,77.25054759033392,146.7385179836333,959.7539712678596,Low
D,9923.375306313725,2.988319522374703,12.98959749986864,78.4368205236432,501.0785573225329,3212.5701943137183,Medium
E,5946.317169860055,0.9912501113124348,13.12840880472749,79.71329660329909,289.57585201251374,1925.087799205983,Low
A,5066.6354596614265,2.007087527965444,12.931561588938916,77.13830650741447,253.08710382346712,1599.452172431401,Low
B,7923.229399519228,0.9857038273594496,13.14575901772048,76.81208688101911,406.4887321831415,2603.297971828664,Medium
C,3091.1425351344874,0.0,12.714364410320677,77.20599393103163,148.564965291651,983.4015335897826,Low
D,10041.24274414346,2.9941278912648306,12.498068614605096,76.41989395474374,485.5094209092591,3194.7621273743484,Medium
E,5773.341730288212,1.0041545182800793,12.736189292243582,77.2334606563454,306.52903672433,1998.6880895403565,Low
A,5066.369702303858,2.1022080842833737,12.850821328377604,81.117656692198,243.8928174104392,1699.249627341144,Low
B,7964.399387100658,0.9987881165620704,12.833219231237956,80.53471096161162,396.1100286129553,2619.4286412414854,Medium
C,3071.551394593691,0.0,12.907315153333194,78.77513638557686,151.52577705264514,956.8222334482642,Low
D,9928.18167335268,3.0689697767193063,13.113946489263508,76.68531817803309,492.1038742559565,3323.5183375989614,Medium
E,5937.270308573104,0.985371707911166,12.24525341238058,78.36380077008386,304.1772101108233,1961.6638963204773,Low
A,5088.173075894128,2.106837752155369,13.166872748955766,78.71477420144282,257.8361544510324,1653.2416990615984,Low
B,7652.213064942725,1.0133736036730017,13.219823135837206,76.6138343973014,409.78049474019326,2548.348244588825,Medium
C,3014.918909384045,0.0,12.664121118911805,78.82296307565653,148.23818585136485,1007.8262875115876,Low
D,10007.116745033702,3.0612661237958214,12.52273498088205,79.73189228225839,497.2075084616312,3120.77560342421,Medium
E,5999.668647401513,1.017082259659661,13.091477839041032,77.95502697170838,295.20042583357707,1977.738718119791,Low
A,4728.502252425582,2.129118262927768,13.153048833358186,77.77065073275006,273.4010959487578,1698.7786778990978,Low
B,7905.571298352563,0.985471769836826,11.782471862954639,73.25413852572962,403.92795757017456,2589.1410565331103,Medium
C,2816.168856651171,0.0,13.14595486594623,82.35292802687125,161.40620016180011,998.7385145955161,Low
D,10176.117975167212,2.8880347447838366,11.436673941407653,75.9893877064105,498.28100793774587,3270.7356013317417,Medium
E,5469.512982937765,1.0246655388602839,13.037651217810925,73.75138445129652,288.1384312638607,1818.8984583902459,Low
A,4943.157823098704,2.034446446928179,13.0563649462266,81.23182840767174,244.1280549077771,1618.497903791473,Low
B,7964.490855729299,0.9629866236700744,12.643465944439104,78.02208953347194,411.57278882154884,2541.980200019589,Medium
C,3017.1756833044938,0.0,13.34583228867336,78.71959774607146,141.17743306128438,968.4395119107583,Low
D,10125.202404312971,3.0457654499810567,12.624086192963333,72.54405493665382,512.5951589371051,2802.300855389685,Medium
E,6513.375955554192,0.9853428755099636,12.843014291736363,83.95184832102916,317.19846697554044,2028.386599853458,Low
A,4751.748492922669,1.9910056486582695,12.492415772048284,78.62253310443157,235.91082602816655,1553.5342907009758,Low
B,7921.940145949456,1.0527960184993306,13.419776311276516,72.4661625404594,380.88499566327374,2426.003520997969,Medium
C,2994.2514226919416,0.0,12.942282284524543,82.68750076060225,153.3151981206197,1024.348565377142,Low
D,9610.647022430408,3.127606866279654,11.909782718574318,82.4263508443649,487.0523507113503,3226.8406725623868,Medium
E,5384.566343223327,0.9697991472052203,13.501928247857768,74.37370567806083,308.87991961325895,1952.9068959463507,Low
A,5327.029352475031,1.808639060878089,12.27455042174339,75.790505655952,249.55129429479845,1607.2888738153156,Low
B,7455.474652613141,1.007646876591663,12.329717526538166,72.55663612852919,400.8729342934951,2639.6256083233475,Medium
C,2727.610957406031,0.0,12.684830712694568,80.09275017451672,158.82661708902012,991.4835379170204,Low
D,10161.631273032675,3.1741855030251607,13.0154649601482,79.75400689258034,479.5113102665699,3404.625289239711,Medium
E,6109.588876232352,0.9058881717762317,13.488781656656192,70.49748311585358,317.1192425673994,1856.4934331921643,Low
A,4709.1119945201235,2.0827454864375796,11.8145648950168,69.63982514138182,264.1165083132201,1764.3557366586283,Low
B,6478.737298262816,1.1385830187754735,11.797846188912143,79.29956975149885,408.24214411193935,2536.3963998798754,Medium
C,3146.3228546323735,0.0,12.387487198861036,75.5532086477707,151.74714144570746,1005.0649354784176,Low
D,9966.54760257711,3.060175288618683,13.092979879110695,81.02410998479337,515.5964598569052,3061.33957974041,Medium
E,6300.742256760238,0.9521154484461163,14.237867892036864,81.22394734211558,297.90403198055026,2039.0376593138892,Low
A,5041.919241191089,1.9135583014662405,12.10171751470623,83.17539839044059,263.7247605241951,1466.9055242624286,Low
B,8020.067332748477,0.8921795851246426,12.694543056013764,77.87050119187063,415.502602734724,2556.714492090696,Medium
C,3174.486450115114,0.0,14.270106415952965,73.29856263237119,156.79965805436623,1029.106864484462,Low
D,8977.39515497056,3.1314616331683145,12.427148005852947,75.59298121568246,508.5193089365275,2816.946146118604,Medium
E,5432.496545750703,0.9598019107845852,12.183849350306943,75.84161856533554,320.55269875821847,2189.9261176275186,Low
A,4621.214411282896,1.994018313196205,12.589667846182811,87.55092787247567,249.48034706982935,1741.9774592962428,Low
B,8430.845941149535,0.9127126958100816,12.624261133698637,86.41793516565026,410.5418629679039,2501.8200504027536,Medium
C,3311.7739455654414,0.0,12.187806875020087,74.95467562185297,145.66631413483537,897.1545153960548,Low
D,10947.81938719879,3.080810078053595,13.07395912899892,76.57352463029856,510.97288810209915,3268.7322044264083,Medium
E,6210.913989516759,1.0206698970908366,12.117897760186803,78.18706316287575,276.2856377848258,2168.7812651772,Low
A,5446.561601156204,2.145793546984388,12.936592482107393,84.77885879258818,259.9212250337955,1796.7161622041795,Low
B,7516.487756696737,1.0323267231281872,12.331498159088222,79.4186549640842,419.0956163824363,2429.8847901024915,Medium
C,2950.932520752697,0.0,12.59915752729732,77.89913019565019,153.6411028053798,966.1620186643703,Low
D,10106.04304403601,3.099894623940934,12.611223615878101,83.57610746485868,492.2951909770602,3024.4762612497793,Medium
E,6271.372873792962,1.0572372209466043,13.889805842158607,72.30837638545181,289.1686929404632,1973.1619317294396,Low
A,5110.382982578188,1.9793910093165137,14.054416315763477,78.85277272478943,250.29952354813983,1488.7669088135085,Low
B,8361.970639279838,0.9783917190300366,14.0227542650949,78.78462461980655,387.81128444776397,2614.995299912173,Medium
C,2879.45516977913,0.0,12.695235653850752,78.74935458134901,150.4235698286591,1012.2921155437268,Low
D,10151.60690672583,2.8186764340693413,13.243397339375052,79.16598792897003,497.8302083965448,3569.7968727768225,Medium
E,5883.200715022768,0.9620704444361553,13.076796144414846,78.41964226499577,306.8001184254569,1864.0532317371278,Low
A,5272.175869276246,2.106396931073574,12.669217356299129,72.32000089714693,236.93052450507182,1701.8627927892285,Low
B,8066.018624061241,0.997794566175724,11.631327549468368,75.95349977297401,391.52718973670346,2655.812230659561,Medium
C,3085.765634813738,0.0,12.476743935999508,77.84561732176293,153.07461097883547,1034.1279425054079,Low
D,10695.171138931899,3.1142544274430346,13.286530737002192,78.10550796605084,515.4106151180733,3263.0275868538824,Medium
E,6251.701402868293,1.0425869553720462,13.268466713934753,73.47146841222026,278.9834501061615,2031.229858801544,Low
A,5016.013151529929,2.042435489428835,12.340883385833427,83.7607379758732,243.05055969449603,1632.786384164279,Low
B,8058.386372659671,0.9334808630387799,13.374062173058405,76.84107995693303,425.7891066636806,2509.4723635921337,Medium
C,2919.553062502209,0.0,12.756853972618769,76.28289818929565,157.1318392841241,953.2458360461128,Low
D,9255.31183581438,2.961276446384759,12.766858166210266,71.0243308182769,497.24256925678617,3334.8754043553613,Medium
E,6048.889254587188,0.87989451525447,13.70556961485932,70.8153413916132,298.3853639452844,1734.2375335980553,Low
A,5122.1592224550095,1.9292592053789244,12.207022380007917,75.74083383190228,272.50876632914077,1659.285891970054,Low
B,8415.64660545769,1.0244054058810113,13.441923166677402,78.52144588300163,396.329639846846,2423.4306101721945,Medium
C,2891.5392535360293,0.0,12.689334167024704,75.95173584883646,168.79902961839198,1011.6025695164327,Low
D,9706.653031262931,3.116961808283903,14.263877356771697,78.19593185810882,507.54382241416744,3341.6166764532004,Medium
E,6142.089621860016,1.0295387849016604,13.32116040521872,77.15947607734164,321.8465812463802,1896.326724418872,Low
A,4460.204369772243,2.1400220290996117,11.936883981364629,77.87154477859667,248.17127965927713,1713.0409774576722,Low
B,8627.259939156258,1.109674740698262,13.13628689467617,80.0335552499955,356.90240166521966,2666.2741927645457,Medium
C,3083.392776244308,0.0,12.818262659360242,74.18954367452541,149.1376991077291,910.4280447717425,Low
D,10064.740014425133,3.1330615843868577,10.961684942246151,77.03916188804567,468.1640330275344,3413.5671954208965,Medium
E,6192.72400025716,1.1054630947176962,13.49159474065619,78.697940708415,287.0710266429979,1894.0311853138314,Low
A,5289.720011633433,2.1440162669204565,13.701481890457424,77.71761163237846,240.1623793936269,1564.075587340933,Low
B,7932.544181621348,1.000927528048183,12.708002831714765,73.7949474456344,420.35888390270316,2496.28008932985,Medium
C,3131.636684676674,0.0,12.36970043160785,82.45110770446419,160.57214868807137,1120.4883672797168,Low
D,9349.803747587555,2.898791030187365,13.409550708030384,73.7183938114965,475.3867141722542,3501.310702679336,Medium
E,5986.5763024720045,1.0705540867902859,13.489190320579365,71.57767655686956,289.29267264419025,2251.814771815791,Low
A,5282.066626726246,2.0823895299001673,13.209162105006936,81.0913800048869,256.87338255381957,1693.1547139435147,Low
B,8086.7044003635365,1.036506824730941,13.640277819311418,77.0205556472559,410.5521698791489,2684.9131168163694,Medium
C,2885.5523670621947,0.0,13.599876469565894,78.43494865800056,158.23914332907736,973.9805426753221,Low
D,9797.987723699602,3.1121327712102467,12.84473081951827,68.88938366608708,527.5364549745696,3384.4174175172393,Medium
E,5602.621065384616,0.9348045899289912,11.967117493640592,80.87882999676035,282.86441913523055,1857.9378327939066,Low
A,4924.423616218976,2.130107177589886,13.34816380900667,83.24966697807437,257.5838474812772,1603.0292920621278,Low
B,7356.841526475651,1.092856149629465,13.62867657068012,83.87129657278398,430.6888958765277,2391.8555389187354,Medium
C,3044.813881537978,0.0,12.076245704200348,77.79360620305248,147.8299385836705,1044.7687962978673,Low
D,9784.959821157521,2.9888276958401683,12.070894766329074,83.63598916483944,517.8732446052177,3025.5430704165883,Medium
E,6493.4843796674995,1.002079092078345,13.665920482177393,79.88267859475462,314.3057159331919,1804.0228003214459,Low
A,5751.74022982825,1.9649248049300072,12.854291340849713,80.84795144684945,254.54728547919908,1631.6958881400087,Low
B,7446.153036498485,1.0950226169365422,12.725494304252166,75.37232057648205,400.47324083024904,2535.639747728125,Medium
C,3219.863458413038,0.0,12.63730410026795,82.48069361693977,139.59185267011117,871.3686025335471,Low
D,10433.852249321108,2.939464388450866,13.938762967593036,83.71434876050604,479.4959962098903,3170.1970674783106,Medium
E,5589.363572628991,1.0968591677146526,12.623336048953496,76.52661289275655,293.38139130824976,2002.8194753909631,Low
A,5074.037534775066,1.9610669140536883,13.132446201291206,77.99595509247715,243.9002205926912,1606.7754552970332,Low
B,8030.095758411137,0.9588643536294109,13.467410552305479,75.8811863563504,354.33746846832776,2550.268236465276,Medium
C,3080.074247637935,0.0,11.585382728073572,78.32436105727795,144.37643783909755,1092.9497398250437,Low
D,9641.444245060688,3.2816062399787604,13.998232670822969,77.60254543334614,499.7409920572827,3274.0594483962386,Medium
E,6422.0832567247435,0.9858881902202968,13.722058136059164,71.43378688990154,308.24722244544256,1948.221613326708,Low
A,5040.191710784988,2.0448388889623943,12.06753049653431,77.668633126055,259.6706356617807,1487.3837277405878,Low
B,8593.704833099819,0.9687179063553054,14.171359497633665,75.7067693508334,433.04930521784775,2584.859000878948,Medium
C,3062.7053979005505,0.0,13.409920232317434,78.44896142339495,144.62384491033274,961.0484476982015,Low
D,10455.388564298026,3.3069055400939282,12.219692638397772,81.69549273243479,511.8281241620606,3412.5831314384686,Medium
E,5852.727984312728,0.9824690305651276,13.180308661046588,85.8069461951184,302.04408270921795,2003.410117502068,Low
A,5294.963547216181,2.0444275979551008,12.78708812031068,73.87372637469839,256.7694065431679,1743.4566483840301,Low
B,7691.7842600551,1.081468213525809,13.914696473091977,79.59470952167706,397.3877042345367,2574.001316993194,Medium
C,2747.0642479947533,0.0,13.748809401286742,77.1325878830643,156.53683291789167,1059.6684414193676,Low
D,9699.069716101707,2.882415711400781,13.077464583927485,81.22719284878595,478.3713509025373,3334.2665352478607,Medium
E,6187.71303577963,1.00345840254581,12.542172112738482,76.99215235986577,306.5774861043221,1976.0003324953773,Low
A,4798.844416332131,2.0736594859058837,12.21491781408535,78.03813852748706,252.5355089187872,1519.9006011555632,Low
B,8258.636170198288,0.9273449901358657,11.802934021039167,77.65661546531747,395.4547518325522,2655.759512990949,Medium
C,3153.1195972225582,0.0,13.432417969649826,78.50005319033103,139.72587934876492,927.8454867644812,Low
D,9980.379067414648,3.0951931678767415,13.784389878275606,71.42262334216105,487.9376623765482,3517.644119295277,Medium
E,5940.081805095326,1.0347679847543214,12.928702935119693,79.57395986286083,258.57615498112244,1922.4582896720674,Low
A,5163.407205004467,1.9050762334334692,12.277639615627406,74.9173617593979,253.66142469047364,1621.5386394794486,Low
B,7710.8635631078305,0.8914199979314862,12.569955940604377,74.60277589813545,436.07269768242213,2521.7205921495174,Medium
C,2650.9199816152304,0.0,12.553494908094084,80.7953240569299,138.3346714681001,1011.6502257795672,Low
D,9676.816140950494,2.8431469100289535,12.820072100817285,81.38351443746208,473.1985048350346,3280.9919851445475,Medium
E,6182.216104503711,1.015974887416548,11.738174054464443,72.56810745413588,313.84157358084286,1885.1081783705717,Low
