zone,hour,ev_count,demand
A,0.0,167.0,104.0
A,1.0,165.0,111.0
A,2.0,179.0,94.0
A,3.0,187.0,95.0
A,4.0,186.0,79.0
A,5.0,188.0,52.0
A,6.0,175.0,114.0
A,7.0,167.0,56.0
A,8.0,149.0,170.0
A,9.0,170.0,163.0
A,10.0,186.0,138.0
A,11.0,194.0,166.0
A,12.0,178.0,62.0
A,13.0,194.0,97.0
A,14.0,183.0,117.0
A,15.0,181.0,67.0
A,16.0,152.0,60.0
A,17.0,181.0,281.0
A,18.0,166.0,267.0
A,19.0,153.0,340.0
A,20.0,152.0,283.0
A,21.0,141.0,354.0
A,22.0,147.0,102.0
A,23.0,145.0,61.0
B,0.0,237.0,97.0
B,1.0,202.0,52.0
B,2.0,243.0,116.0
B,3.0,197.0,50.0
B,4.0,205.0,50.0
B,5.0,197.0,97.0
B,6.0,222.0,61.0
B,7.0,220.0,99.0
B,8.0,231.0,196.0
B,9.0,238.0,151.0
B,10.0,230.0,175.0
B,11.0,220.0,152.0
B,12.0,248.0,111.0
B,13.0,231.0,110.0
B,14.0,246.0,78.0
B,15.0,218.0,105.0
B,16.0,217.0,94.0
B,17.0,237.0,352.0
B,18.0,251.0,357.0
B,19.0,236.0,273.0
B,20.0,204.0,342.0
B,21.0,233.0,388.0
B,22.0,206.0,89.0
B,23.0,226.0,57.0
C,0.0,266.0,107.0
C,1.0,247.0,62.0
C,2.0,250.0,99.0
C,3.0,230.0,81.0
C,4.0,266.0,51.0
C,5.0,226.0,110.0
C,6.0,221.0,93.0
C,7.0,269.0,62.0
C,8.0,221.0,168.0
C,9.0,229.0,166.0
C,10.0,246.0,126.0
C,11.0,222.0,158.0
C,12.0,220.0,89.0
C,13.0,239.0,71.0
C,14.0,238.0,98.0
C,15.0,267.0,97.0
C,16.0,255.0,94.0
C,17.0,211.0,271.0
C,18.0,241.0,251.0
C,19.0,231.0,259.0
C,20.0,221.0,274.0
C,21.0,245.0,273.0
C,22.0,213.0,69.0
C,23.0,253.0,52.0
D,0.0,170.0,113.0
D,1.0,177.0,74.0
D,2.0,181.0,72.0
D,3.0,157.0,94.0
D,4.0,185.0,117.0
D,5.0,156.0,58.0
D,6.0,167.0,105.0
D,7.0,180.0,114.0
D,8.0,167.0,132.0
D,9.0,171.0,152.0
D,10.0,132.0,194.0
D,11.0,156.0,141.0
D,12.0,145.0,67.0
D,13.0,151.0,52.0
D,14.0,145.0,87.0
D,15.0,160.0,111.0
D,16.0,175.0,108.0
D,17.0,147.0,254.0
D,18.0,138.0,332.0
D,19.0,154.0,352.0
D,20.0,172.0,308.0
D,21.0,184.0,261.0
D,22.0,184.0,63.0
D,23.0,176.0,100.0
E,0.0,200.0,119.0
E,1.0,203.0,65.0
E,2.0,191.0,80.0
E,3.0,186.0,70.0
E,4.0,198.0,61.0
E,5.0,227.0,51.0
E,6.0,188.0,82.0
E,7.0,193.0,86.0
